name,portrait,team,role,vimeo_id
Dan Pink,pink,advisors,"Best-selling Author of Drive, A Whole New Mind, and To Sell is Human ",
Leigh Blake,blake,advisors,"Co-Founder, Keep a Child Alive",
Bill Milliken,milliken,advisors,"Author of The Last Dropout; Stop the Epidemic!; Co-Founder and former President, Communities in Schools ",
Shane Lopez,lopez,advisors,"Senior Scientist, Gallup; Research Director, the Clifton Strengths Institute ",
Scott Barry Kaufman,kaufman,advisors,"Author of Ungifted, Intelligence Redefined; Co-Founder, The Creativity Post ",
Carol Dweck,dweck,advisors,"Author of Mindset; The New Psychology of Success; Professor of Psychology, Stanford University ",
Bill Damon,damon,advisors,"Professor of Education, Stanford University; Editor-in-Chief, The Handbook of Child Psychology ",
Tim Coleman,coleman,board,PJT Partners,
Deepak Chopra,chopra,advisors,"Bestselling Author, Global Thought Leader ",
Niko Canner,canner,advisors,"Founder, Incandescent ",
Ryan Allis,allis,advisors,"Co-Founder and CEO, Connect; Former Co-Founder and CEO, iContact ",
Dr. Paul Hernandez,none,advisor,"Author, The Pedagogy of Real Talk ",
Alicia Keys,keys,advisors,"Musician, Philanthropist",
Tony Nuckolls,nuckolls,advisors,Quicken Loans,
Brooke Jackson,jackson,advisors,"Principal, NYC Lab School",
Rachel Skerritt,skerritt,advisors,"Principal, Eastern Senior High School",
